0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,labels
-382.7774658203125,95.18524932861328,-9.166131019592285,14.621997833251953,-1.0484488010406494,6.800313472747803,-4.792756080627441,-1.1553544998168945,-3.982703447341919,2.5129475593566895,-10.371014595031738,-0.3651123046875,-7.75831413269043,0.16960634291172028,-8.093512535095215,-4.014623165130615,-7.481652736663818,-3.599601984024048,-5.959621906280518,-3.666106700897217,neutral
-382.77654560173505,95.18438750919644,-9.165717753707844,14.62052938633677,-1.047388409696053,6.799871195397882,-4.793027990959822,-1.1532955664493922,-3.98280232285538,2.5119281006822676,-10.369662057262838,-0.3676233934045747,-7.756355901877172,0.1689301644384042,-8.093755058202651,-4.0146468442756476,-7.482606900175675,-3.5976980312115607,-5.960826613932511,-3.6650561833765924,neutral
-416.9530944824219,94.25679779052734,-10.248082160949707,14.283891677856445,-0.9736958742141724,6.9336256980896,-4.7289533615112305,-0.9127875566482544,-3.0584897994995117,1.9870848655700684,-11.554912567138672,-0.9161145687103271,-6.788033485412598,0.3454720079898834,-8.16884994506836,-2.842900276184082,-7.050879001617432,-3.677243947982788,-4.828530311584473,-4.087322235107422,neutral
-380.1926574707031,96.5083236694336,-7.976822376251221,13.526683807373047,-1.560805320739746,7.09910249710083,-5.150238037109375,-1.769676685333252,-4.373225212097168,1.8614338636398315,-10.384737968444824,-0.7053584456443787,-8.465516090393066,0.3362395763397217,-7.578731060028076,-3.303785562515259,-7.280235767364502,-3.762105703353882,-6.008490085601807,-3.252333641052246,neutral
-409.7455749511719,93.55879211425781,-10.563016891479492,14.027417182922363,-1.0785331726074219,6.355929851531982,-6.004550933837891,-2.727869749069214,-3.7929224967956543,0.5375000238418579,-11.350831031799316,-2.608426094055176,-8.699956893920898,0.7462649941444397,-8.661508560180664,-2.722611904144287,-8.063672065734863,-1.9771037101745605,-6.360843181610107,0.06987453252077103,neutral
-408.8581237792969,96.81226348876953,-7.605061054229736,16.44610023498535,0.04981883242726326,8.342619895935059,-4.300751686096191,-3.1536357402801514,-7.150933742523193,1.2968271970748901,-11.2907133102417,0.10401681810617447,-7.840670108795166,1.555432915687561,-7.228429317474365,-3.24946665763855,-7.755237579345703,-3.972642183303833,-5.57012939453125,-4.303468227386475,neutral
-289.17559814453125,76.4188461303711,17.363426208496094,13.349696159362793,4.640441417694092,2.1924502849578857,-12.52400016784668,-5.088063716888428,-3.2690701484680176,-3.421485662460327,-12.092996597290039,-6.957724094390869,-11.234488487243652,-1.2925503253936768,-1.9826980829238892,-6.740448951721191,-5.060237884521484,-4.720970630645752,-6.705480098724365,-6.831876277923584,neutral
-174.03197009985772,25.59145901391754,12.801608644058772,6.305782196083288,4.039536467060542,-0.5000862928332674,-5.015587970931275,-4.889917207550365,-4.604303740890503,-4.256228094911852,-6.720184940561919,-7.417603119910293,-5.7922000153561815,-3.1332761189686202,-2.940926351076122,-4.404911725641834,-4.252216399557805,-4.202068664375332,-5.229447287041337,-6.1813851201620205,neutral
-316.7234191894531,72.75173950195312,18.490005493164062,12.47874927520752,4.395230770111084,1.6798690557479858,-13.346813201904297,-5.807476043701172,-3.5468029975891113,-3.3724522590637207,-12.551838874816895,-7.464148998260498,-11.301348686218262,-1.5645737648010254,-2.4544448852539062,-6.361143112182617,-4.924887180328369,-5.068274021148682,-6.856804370880127,-6.944786548614502,neutral
-287.9820556640625,77.01655578613281,17.051218032836914,13.305685997009277,4.520902156829834,2.069645643234253,-12.76893424987793,-5.081171035766602,-3.284111499786377,-3.441372871398926,-12.213510513305664,-6.938045024871826,-11.306679725646973,-1.2197794914245605,-1.9693325757980347,-6.768528938293457,-5.185608386993408,-4.766056060791016,-6.817792892456055,-6.914087295532227,neutral
